00Z 18 11 2017, 0.00, 18.68
12Z 18 11 2017, 0.00, 20.74
00Z 19 11 2017, 0.00, 19.46
12Z 19 11 2017, 0.00, 23.49
00Z 20 11 2017, 14.64, 25.29
12Z 20 11 2017, 0.00, 24.60
00Z 21 11 2017, 6.30, 22.86
12Z 21 11 2017, 0.00, 16.22
00Z 22 11 2017, 0.00, 17.09
12Z 22 11 2017, 30.73, 33.23
00Z 23 11 2017, 481.79, 32.88
12Z 23 11 2017, 0.00, 30.68
00Z 24 11 2017, 22.55, 28.76
12Z 24 11 2017, 0.00, 32.74
00Z 25 11 2017, 0.00, 28.61
12Z 25 11 2017, 6.12, 28.55
00Z 26 11 2017, 0.07, 23.11
12Z 26 11 2017, 3.66, 12.52
00Z 27 11 2017, 0.00, 9.11
12Z 27 11 2017, 0.00, 9.52
00Z 28 11 2017, 0.00, 13.39
12Z 28 11 2017, 0.00, 20.38
00Z 29 11 2017, 0.00, 20.20
12Z 29 11 2017, 12.95, 33.17
00Z 30 11 2017, 37.91, 34.67
12Z 30 11 2017, 0.00, 47.70
00Z 01 12 2017, 0.00, 25.55
12Z 02 12 2017, 29.36, 16.94
00Z 03 12 2017, 27.47, 15.27
12Z 03 12 2017, 5.35, 16.65
00Z 04 12 2017, 6.89, 14.59
12Z 04 12 2017, 0.00, 12.74
00Z 05 12 2017, 0.00, 12.16
